epoch,accuracy,loss,val_accuracy,val_loss
0,0.7279999852180481,0.771957278251648,0.8712499737739563,0.2985563576221466
1,0.8299999833106995,0.3966428339481354,0.8712499737739563,0.33771124482154846
2,0.8700000047683716,0.33168020844459534,0.8999999761581421,0.2829996347427368
3,0.8930000066757202,0.25773870944976807,0.8362500071525574,0.5091631412506104
4,0.9290000200271606,0.20780588686466217,0.8287500143051147,0.6037978529930115
5,0.9330000281333923,0.17290271818637848,0.9037500023841858,0.29057323932647705
6,0.9399999976158142,0.17352108657360077,0.8899999856948853,0.33416080474853516
7,0.9399999976158142,0.14862926304340363,0.8762500286102295,0.47658073902130127
8,0.9509999752044678,0.13870230317115784,0.8987500071525574,0.39341872930526733
9,0.9580000042915344,0.11570374667644501,0.8824999928474426,0.4251987040042877
